priority_rank,name,county,town,lat,lon,risk_score,risk_level,rain_24h_mm_demo,elevation_m,slope_deg,aspect_deg,aspect_dir,aspect_score,terrain_score,debris_dist_m,debris_Risk,lswarn_dist_m,lswarn_Risk,lspot_dist_m,lspot_Risk,event_dist_m,event_Events,law_status,law_issue,indigenous_area,data_confidence,suggested_action,alert_message
1,阿里山有機小農露營區,嘉義縣,阿里山鄉,23.4714423304652,120.703766895337,81.1,立即撤離,240.89932105349013,1295.06,24.47,214.5,西南,21.3,52.4,240.71686816526628,雿,0.0,擃,0.0,高,2021.307459903836,0728豪雨,違反相關法規露營場,違反區域計畫法,是,高,啟動撤離與人員清點，避免夜間或豪雨中移動，優先確認聯外道路是否受阻。,【露營安全預警】嘉義縣阿里山鄉「阿里山有機小農露營區」目前評估為「立即撤離」。主因：雨量偏高 241 mm/24h、距土石流影響範圍 241 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
2,高美休閒營區,嘉義縣,阿里山鄉,23.4712778484997,120.705720266223,79.8,預警撤離,230.76529532687687,1314.94,32.09,187.1,南,44.1,72.3,432.30529593099794,雿,0.0,擃,0.0,高,1833.1914548058307,0728豪雨,違反相關法規露營場,違反區域計畫法,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】嘉義縣阿里山鄉「高美休閒營區」目前評估為「預警撤離」。主因：雨量偏高 231 mm/24h、DEM坡度 32°、距土石流影響範圍 432 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
3,能通農場露營區,南投縣,鹿谷鄉,23.70349,120.77368,79.3,預警撤離,211.4794915982011,780.63,9.15,78.8,東,50.1,28.9,0.0,擃,0.0,擃,477.6121408144436,高,4972.169511656639,丹娜絲颱風、薇帕颱風、0721豪雨,違反相關法規露營場,區域計畫法,否,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】南投縣鹿谷鄉「能通農場露營區」目前評估為「預警撤離」。主因：雨量偏高 211 mm/24h、距土石流影響範圍 0 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
4,迎客山,苗栗縣,大湖鄉,24.40994,120.90374,78.7,預警撤離,193.1196976979686,409.13,23.2,302.3,西北,0.0,45.2,91.8816769901005,銝,0.0,銝,0.0,中,6588.82703267785,0728豪雨,違反相關法規露營場,區域計畫法,否,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣大湖鄉「迎客山」目前評估為「預警撤離」。主因：距土石流影響範圍 92 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
5,一線天,苗栗縣,泰安鄉,24.389673,120.922098,77.7,預警撤離,186.03302933421836,585.56,28.93,18.3,北,15.2,59.8,207.37103444083607,擃,0.0,擃,0.0,高,4496.347458690213,0728豪雨,違反相關法規露營場,不符合土地管制法規,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣泰安鄉「一線天」目前評估為「預警撤離」。主因：距土石流影響範圍 207 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
6,亞日兒山莊露營區,臺東縣,金峰鄉,22.631161,121.000187,76.3,預警撤離,188.76610918724916,132.08,16.11,137.1,東南,85.8,50.3,173.58045015150674,銝,0.0,擃,0.0,高,7688.971245727297,0728豪雨,違反相關法規露營場,區域計畫法,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】臺東縣金峰鄉「亞日兒山莊露營區」目前評估為「預警撤離」。主因：坡向 東南，迎風暴露較高、距土石流影響範圍 174 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
7,雲朵朵露營區,苗栗縣,泰安鄉,24.442494,120.926523,74.8,預警撤離,184.05658651495247,436.41,19.41,174.5,南,54.6,49.9,0.0,雿,231.84845226572628,銝,231.83984027997903,中,8840.603539286909,0728豪雨,違反相關法規露營場,區域計畫法,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣泰安鄉「雲朵朵露營區」目前評估為「預警撤離」。主因：距土石流影響範圍 0 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
8,磯崎好聚落高山森林基地,花蓮縣,豐濱鄉,23.6845423410882,121.546855866409,73.1,預警撤離,199.14474916917604,55.77,16.99,147.8,東南,76.8,50.0,343.8335303388946,雿,0.0,擃,41.692783224876784,高,1513.3966282664037,樺加沙颱風,違反相關法規露營場,區域計畫法,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】花蓮縣豐濱鄉「磯崎好聚落高山森林基地」目前評估為「預警撤離」。主因：坡向 東南，迎風暴露較高、距土石流影響範圍 344 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
9,瑪都安露營區,苗栗縣,泰安鄉,24.4404606550413,120.925848777579,73.1,預警撤離,189.5637769266607,409.71,19.67,351.2,北,0.0,38.4,0.0,擃,127.54560278953448,銝,258.26715742625487,中,8976.077225153325,0728豪雨,違反相關法規露營場,待清查,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣泰安鄉「瑪都安露營區」目前評估為「預警撤離」。主因：距土石流影響範圍 0 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
10,司卡尤納露營區,臺中市,和平區,24.327756,120.926215,72.7,預警撤離,213.48512831073188,654.12,21.06,296.8,西北,0.0,41.1,265.33805725179934,銝,0.0,擃,0.0,高,1959.8011121427865,0728豪雨,違反相關法規露營場,區域計畫法,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】臺中市和平區「司卡尤納露營區」目前評估為「預警撤離」。主因：雨量偏高 213 mm/24h、距土石流影響範圍 265 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
11,一遊味境親子露營區,苗栗縣,大湖鄉,24.4121029194378,120.900526059128,72.7,預警撤離,188.27972454306584,361.64,15.79,273.1,西,0.0,30.8,121.04324664831768,銝,0.0,銝,303.9141675419896,中,6862.862638067725,0728豪雨,違反相關法規露營場,不符合土地管制法規,否,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣大湖鄉「一遊味境親子露營區」目前評估為「預警撤離」。主因：距土石流影響範圍 121 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
